user_id,timestamp,channel,campaign,conversion,timestamp_utc,timestamp_ist,date,hour,day_name,conversion_flag
83281,2025-02-10 07:58:51,Email,New Product Launch,no,2025-02-10 07:58:51+00:00,2025-02-10 13:28:51+05:30,2025-02-10,7,Monday,0
68071,2025-02-10 23:38:48,Search Ads,Winter Sale,no,2025-02-10 23:38:48+00:00,2025-02-11 05:08:48+05:30,2025-02-10,23,Monday,0
90131,2025-02-11 10:41:07,Social Media,Brand Awareness,yes,2025-02-11 10:41:07+00:00,2025-02-11 16:11:07+05:30,2025-02-11,10,Tuesday,1
71026,2025-02-10 08:19:44,Direct Traffic,nan,yes,2025-02-10 08:19:44+00:00,2025-02-10 13:49:44+05:30,2025-02-10,8,Monday,1
94486,2025-02-10 15:15:46,Email,Retargeting,yes,2025-02-10 15:15:46+00:00,2025-02-10 20:45:46+05:30,2025-02-10,15,Monday,1
31134,2025-02-11 06:43:06,Search Ads,nan,yes,2025-02-11 06:43:06+00:00,2025-02-11 12:13:06+05:30,2025-02-11,6,Tuesday,1
99995,2025-02-10 06:15:30,Search Ads,nan,yes,2025-02-10 06:15:30+00:00,2025-02-10 11:45:30+05:30,2025-02-10,6,Monday,1
45832,2025-02-11 01:09:27,Referral,Winter Sale,yes,2025-02-11 01:09:27+00:00,2025-02-11 06:39:27+05:30,2025-02-11,1,Tuesday,1
79863,2025-02-10 06:48:56,Display Ads,Discount Offer,yes,2025-02-10 06:48:56+00:00,2025-02-10 12:18:56+05:30,2025-02-10,6,Monday,1
35324,2025-02-10 21:36:24,Direct Traffic,nan,no,2025-02-10 21:36:24+00:00,2025-02-11 03:06:24+05:30,2025-02-10,21,Monday,0
50905,2025-02-11 22:04:52,Social Media,Brand Awareness,no,2025-02-11 22:04:52+00:00,2025-02-12 03:34:52+05:30,2025-02-11,22,Tuesday,0
82798,2025-02-10 08:57:09,Display Ads,New Product Launch,yes,2025-02-10 08:57:09+00:00,2025-02-10 14:27:09+05:30,2025-02-10,8,Monday,1
53313,2025-02-10 14:45:33,Social Media,Brand Awareness,yes,2025-02-10 14:45:33+00:00,2025-02-10 20:15:33+05:30,2025-02-10,14,Monday,1
59109,2025-02-10 14:18:50,Display Ads,Brand Awareness,no,2025-02-10 14:18:50+00:00,2025-02-10 19:48:50+05:30,2025-02-10,14,Monday,0
72045,2025-02-11 18:39:11,Referral,Retargeting,no,2025-02-11 18:39:11+00:00,2025-02-12 00:09:11+05:30,2025-02-11,18,Tuesday,0
91019,2025-02-10 04:28:34,Email,Winter Sale,no,2025-02-10 04:28:34+00:00,2025-02-10 09:58:34+05:30,2025-02-10,4,Monday,0
78241,2025-02-11 11:24:51,Display Ads,Brand Awareness,yes,2025-02-11 11:24:51+00:00,2025-02-11 16:54:51+05:30,2025-02-11,11,Tuesday,1
71565,2025-02-11 17:24:00,Email,Retargeting,yes,2025-02-11 17:24:00+00:00,2025-02-11 22:54:00+05:30,2025-02-11,17,Tuesday,1
60684,2025-02-10 01:31:38,Email,nan,yes,2025-02-10 01:31:38+00:00,2025-02-10 07:01:38+05:30,2025-02-10,1,Monday,1
28998,2025-02-11 11:15:57,Direct Traffic,nan,yes,2025-02-11 11:15:57+00:00,2025-02-11 16:45:57+05:30,2025-02-11,11,Tuesday,1
39795,2025-02-11 22:31:29,Display Ads,New Product Launch,no,2025-02-11 22:31:29+00:00,2025-02-12 04:01:29+05:30,2025-02-11,22,Tuesday,0
83286,2025-02-11 16:16:07,Social Media,Discount Offer,no,2025-02-11 16:16:07+00:00,2025-02-11 21:46:07+05:30,2025-02-11,16,Tuesday,0
62862,2025-02-11 02:10:56,Referral,Discount Offer,yes,2025-02-11 02:10:56+00:00,2025-02-11 07:40:56+05:30,2025-02-11,2,Tuesday,1
20507,2025-02-11 12:49:41,Email,Discount Offer,yes,2025-02-11 12:49:41+00:00,2025-02-11 18:19:41+05:30,2025-02-11,12,Tuesday,1
28295,2025-02-11 14:52:26,Social Media,New Product Launch,no,2025-02-11 14:52:26+00:00,2025-02-11 20:22:26+05:30,2025-02-11,14,Tuesday,0
96523,2025-02-10 20:39:45,Social Media,Brand Awareness,yes,2025-02-10 20:39:45+00:00,2025-02-11 02:09:45+05:30,2025-02-10,20,Monday,1
30910,2025-02-11 02:03:43,Referral,Discount Offer,yes,2025-02-11 02:03:43+00:00,2025-02-11 07:33:43+05:30,2025-02-11,2,Tuesday,1
78262,2025-02-11 17:34:39,Referral,Brand Awareness,no,2025-02-11 17:34:39+00:00,2025-02-11 23:04:39+05:30,2025-02-11,17,Tuesday,0
37903,2025-02-10 18:20:15,Search Ads,Retargeting,yes,2025-02-10 18:20:15+00:00,2025-02-10 23:50:15+05:30,2025-02-10,18,Monday,1
22684,2025-02-11 17:40:59,Direct Traffic,nan,no,2025-02-11 17:40:59+00:00,2025-02-11 23:10:59+05:30,2025-02-11,17,Tuesday,0
14396,2025-02-10 00:29:52,Social Media,Discount Offer,yes,2025-02-10 00:29:52+00:00,2025-02-10 05:59:52+05:30,2025-02-10,0,Monday,1
31679,2025-02-11 16:14:27,Email,Brand Awareness,no,2025-02-11 16:14:27+00:00,2025-02-11 21:44:27+05:30,2025-02-11,16,Tuesday,0
73216,2025-02-10 16:07:32,Email,nan,yes,2025-02-10 16:07:32+00:00,2025-02-10 21:37:32+05:30,2025-02-10,16,Monday,1
34551,2025-02-10 15:55:07,Referral,Discount Offer,no,2025-02-10 15:55:07+00:00,2025-02-10 21:25:07+05:30,2025-02-10,15,Monday,0
20513,2025-02-11 07:12:26,Search Ads,nan,yes,2025-02-11 07:12:26+00:00,2025-02-11 12:42:26+05:30,2025-02-11,7,Tuesday,1
78925,2025-02-10 02:27:13,Social Media,Retargeting,no,2025-02-10 02:27:13+00:00,2025-02-10 07:57:13+05:30,2025-02-10,2,Monday,0
30845,2025-02-11 15:43:26,Email,Retargeting,yes,2025-02-11 15:43:26+00:00,2025-02-11 21:13:26+05:30,2025-02-11,15,Tuesday,1
27437,2025-02-11 10:47:29,Direct Traffic,nan,no,2025-02-11 10:47:29+00:00,2025-02-11 16:17:29+05:30,2025-02-11,10,Tuesday,0
17566,2025-02-10 14:33:24,Search Ads,Brand Awareness,no,2025-02-10 14:33:24+00:00,2025-02-10 20:03:24+05:30,2025-02-10,14,Monday,0
61019,2025-02-10 20:23:23,Referral,Brand Awareness,no,2025-02-10 20:23:23+00:00,2025-02-11 01:53:23+05:30,2025-02-10,20,Monday,0
96237,2025-02-10 18:57:31,Email,Winter Sale,no,2025-02-10 18:57:31+00:00,2025-02-11 00:27:31+05:30,2025-02-10,18,Monday,0
93014,2025-02-11 15:51:03,Search Ads,nan,no,2025-02-11 15:51:03+00:00,2025-02-11 21:21:03+05:30,2025-02-11,15,Tuesday,0
