performance_date,channel,campaign,attribution_model,impressions,clicks,spend,conversions,revenue,users_reached,touchpoints,cpc,cac,roas
2025-06-13,Google Ads,Brand Awareness,Linear,23024,798,12177.48,36,152388,20447,1,15.26,338.26,12.51
2025-06-01,Display Ads,Brand Awareness,First Touch,11140,368,12615.04,12,24168,10893,5,34.28,1051.25,1.92
2025-04-18,Meta Ads,App Install,Linear,23231,1592,13277.28,240,974160,18539,3,8.34,55.32,73.37
2025-03-13,Meta Ads,New Product Launch,Last Touch,11698,299,3895.97,46,168912,8015,1,13.03,84.69,43.36
2025-04-28,Social Media,Discount Offer,Last Touch,10164,539,27559.07,66,176946,9811,2,51.13,417.56,6.42
2025-06-30,Google Ads,Brand Awareness,Linear,19935,1323,78361.29,209,337117,16194,3,59.23,374.93,4.3
2025-04-27,Direct Traffic,Summer Sale,First Touch,29260,1208,51762.8,163,651837,25247,1,42.85,317.56,12.59
2025-06-05,Direct Traffic,Retargeting,Linear,21043,627,17386.71,111,424131,19646,2,27.73,156.64,24.39
2025-06-25,Email,Brand Awareness,First Touch,7103,485,13997.1,19,66937,6491,3,28.86,736.69,4.78
2025-02-24,Direct Traffic,App Install,Last Touch,47129,2240,48764.8,150,524850,41225,3,21.77,325.1,10.76
2025-05-30,Display Ads,Loyalty,Last Touch,28723,952,56996.24,101,158772,26743,1,59.87,564.32,2.79
2025-01-29,Meta Ads,Retargeting,Linear,32666,1822,51034.22,217,676389,25002,3,28.01,235.18,13.25
2025-05-22,Google Ads,Discount Offer,Linear,40190,2614,125393.58,211,506822,34341,2,47.97,594.28,4.04
2025-04-27,Google Ads,Winter Sale,Linear,16708,843,11405.79,104,396968,16671,5,13.53,109.67,34.8
2025-02-20,Meta Ads,Summer Sale,First Touch,40348,3115,174346.55,522,1906866,30795,4,55.97,334.0,10.94
2025-01-05,Google Ads,Summer Sale,Last Touch,20692,485,26025.1,83,128650,18308,1,53.66,313.56,4.94
2025-05-17,Meta Ads,Retargeting,Linear,36148,2776,46053.84,303,1116252,31939,2,16.59,151.99,24.24
2025-05-19,Direct Traffic,New Product Launch,Linear,25428,1117,47952.81,96,318624,20111,1,42.93,499.51,6.64
2025-03-05,Meta Ads,Discount Offer,Last Touch,6378,352,7029.44,22,32780,6088,1,19.97,319.52,4.66
2025-02-28,Google Ads,Brand Awareness,Last Touch,9643,490,11015.2,50,170400,5904,5,22.48,220.3,15.47
2025-05-28,Display Ads,New Product Launch,Last Touch,31677,995,12974.8,94,275796,22573,4,13.04,138.03,21.26
2025-01-14,Direct Traffic,Discount Offer,First Touch,31386,1999,99210.37,92,182528,18809,5,49.63,1078.37,1.84
2025-04-25,Meta Ads,Festive Offer,First Touch,23254,1110,59351.7,45,155430,13231,1,53.47,1318.93,2.62
2025-06-16,Social Media,Brand Awareness,First Touch,20491,614,20415.5,38,107996,11205,2,33.25,537.25,5.29
2025-04-08,Google Ads,Festive Offer,Last Touch,34819,1292,57132.24,180,793440,33356,2,44.22,317.4,13.89
2025-02-18,Email,New Product Launch,First Touch,42957,2755,30773.35,212,297860,40620,4,11.17,145.16,9.68
2025-05-09,Social Media,Retargeting,First Touch,38281,949,16759.34,113,448045,26847,4,17.66,148.31,26.73
2025-01-31,Social Media,New Product Launch,Linear,43962,984,12063.84,126,442890,39111,3,12.26,95.74,36.71
2025-03-08,Meta Ads,Summer Sale,First Touch,22407,980,42071.4,73,182135,12391,1,42.93,576.32,4.33
2025-04-28,Social Media,Loyalty,First Touch,9801,512,17566.72,25,65725,5463,2,34.31,702.67,3.74
2025-04-05,Email,Retargeting,Last Touch,40600,2525,100520.25,449,1741222,37632,1,39.81,223.88,17.32
2025-06-20,Social Media,Winter Sale,Linear,11788,899,13467.02,42,68796,10426,2,14.98,320.64,5.11
2025-03-11,Email,Loyalty,First Touch,27471,885,36267.3,61,195261,17849,1,40.98,594.55,5.38
2025-01-24,Direct Traffic,Festive Offer,Last Touch,7889,159,7647.9,19,43168,4605,4,48.1,402.52,5.64
2025-05-22,Direct Traffic,Festive Offer,Linear,5633,150,8571.0,20,36200,5050,1,57.14,428.55,4.22
2025-04-05,Social Media,Lead Gen,First Touch,33166,916,22011.48,151,673460,17890,3,24.03,145.77,30.6
2025-02-23,Direct Traffic,New Product Launch,Linear,11736,483,17924.13,77,288134,7134,2,37.11,232.78,16.08
2025-02-11,Meta Ads,Festive Offer,First Touch,16754,1075,27165.25,182,816270,12442,3,25.27,149.26,30.05
2025-02-10,Direct Traffic,Discount Offer,Last Touch,7537,539,10548.23,82,252970,5200,3,19.57,128.64,23.98
2025-02-28,Meta Ads,Brand Awareness,Linear,17656,775,17429.75,31,135377,13401,3,22.49,562.25,7.77
2025-06-14,Social Media,Festive Offer,Linear,40141,1600,15104.0,258,585402,25921,5,9.44,58.54,38.76
2025-03-09,Google Ads,Discount Offer,Linear,33479,1363,66637.07,130,428220,20528,4,48.89,512.59,6.43
2025-05-28,Meta Ads,Winter Sale,First Touch,33577,674,37831.62,74,306804,23244,3,56.13,511.24,8.11
2025-04-21,Google Ads,Summer Sale,Linear,25572,1529,22139.92,252,825804,17853,4,14.48,87.86,37.3
2025-03-25,Display Ads,Winter Sale,Linear,13341,420,17883.6,36,153504,8095,5,42.58,496.77,8.58
2025-05-26,Email,Festive Offer,Linear,5026,192,3634.56,28,103152,3832,4,18.93,129.81,28.38
2025-04-24,Display Ads,New Product Launch,Linear,36010,2435,141010.85,341,1329218,20783,3,57.91,413.52,9.43
2025-05-12,Direct Traffic,Loyalty,Last Touch,11120,768,36142.08,100,212000,7191,2,47.06,361.42,5.87
2025-01-07,Google Ads,New Product Launch,Last Touch,45060,3198,37704.42,294,1111026,41393,2,11.79,128.25,29.47
2025-06-28,Display Ads,App Install,Last Touch,20989,605,26474.8,99,431046,12240,4,43.76,267.42,16.28
2025-02-26,Meta Ads,Lead Gen,Last Touch,8291,443,24679.53,21,36666,7951,5,55.71,1175.22,1.49
2025-05-24,Social Media,Summer Sale,Last Touch,45150,3110,169152.9,292,1005648,37186,2,54.39,579.29,5.95
2025-05-02,Display Ads,Winter Sale,First Touch,46789,1714,83026.16,176,383504,32392,4,48.44,471.74,4.62
2025-01-20,Direct Traffic,Winter Sale,First Touch,22807,915,49812.6,38,69046,15191,4,54.44,1310.86,1.39
2025-06-27,Meta Ads,New Product Launch,First Touch,32188,1430,51794.6,132,270204,29740,4,36.22,392.38,5.22
2025-04-10,Social Media,Brand Awareness,Linear,29928,1455,82964.1,108,302076,28946,4,57.02,768.19,3.64
2025-05-18,Direct Traffic,Lead Gen,Linear,19453,958,21258.02,98,273616,15233,4,22.19,216.92,12.87
2025-02-12,Display Ads,Retargeting,Linear,40004,864,24615.36,99,129789,22752,4,28.49,248.64,5.27
2025-02-04,Display Ads,Retargeting,First Touch,22049,942,17907.42,74,319458,17235,3,19.01,241.99,17.84
2025-04-18,Email,Discount Offer,Last Touch,6270,407,4358.97,70,148260,5797,1,10.71,62.27,34.01
2025-06-16,Google Ads,Brand Awareness,First Touch,18065,1270,51193.7,83,260537,10906,5,40.31,616.79,5.09
2025-02-25,Display Ads,Winter Sale,Last Touch,15996,901,52357.11,124,543740,14709,2,58.11,422.23,10.39
2025-03-21,Google Ads,Loyalty,First Touch,25444,1387,76590.14,119,491232,15971,1,55.22,643.61,6.41
2025-06-01,Direct Traffic,New Product Launch,First Touch,24764,1758,68948.76,84,295512,13054,3,39.22,820.82,4.29
2025-05-17,Display Ads,Summer Sale,First Touch,38158,2245,19441.7,208,667056,22537,4,8.66,93.47,34.31
2025-04-03,Direct Traffic,App Install,Linear,15026,693,31988.88,121,279026,12558,5,46.16,264.37,8.72
2025-05-04,Display Ads,Festive Offer,Linear,43828,1582,82722.78,244,379176,31053,4,52.29,339.03,4.58
2025-03-04,Display Ads,Loyalty,Linear,48790,2085,19786.65,328,637632,40371,2,9.49,60.33,32.23
2025-04-01,Email,Summer Sale,Last Touch,44069,2735,61181.95,86,170452,24839,2,22.37,711.42,2.79
2025-04-15,Display Ads,Lead Gen,First Touch,36201,2126,71263.52,316,499596,27741,2,33.52,225.52,7.01
2025-04-14,Direct Traffic,New Product Launch,Last Touch,48513,2663,86840.43,291,856122,42291,3,32.61,298.42,9.86
2025-04-01,Direct Traffic,App Install,Last Touch,25094,880,12557.6,51,86139,24718,5,14.27,246.23,6.86
2025-06-26,Meta Ads,New Product Launch,First Touch,36732,1344,51959.04,193,703292,27639,1,38.66,269.22,13.54
2025-02-19,Email,New Product Launch,Last Touch,16759,639,28639.98,31,42966,9272,5,44.82,923.87,1.5
2025-03-16,Direct Traffic,Retargeting,Linear,37170,972,8398.08,70,221200,33018,3,8.64,119.97,26.34
2025-02-17,Google Ads,Winter Sale,Last Touch,12476,864,24917.76,35,132230,11861,1,28.84,711.94,5.31
2025-02-08,Meta Ads,Loyalty,Last Touch,10582,842,11922.72,121,445643,10174,5,14.16,98.53,37.38
