Date,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Competitor Pricing
2024-01-01,161.66666666666666,372,471,365,345.355,13.333333333333334,335.86
2024-01-02,188.0,285,424,269,387.3433333333333,11.666666666666666,384.6816666666667
2024-01-03,174.5,337,390,325,412.145,9.166666666666666,409.80833333333334
2024-01-04,169.5,378,378,378,435.06333333333333,9.166666666666666,441.6266666666667
2024-01-05,191.83333333333334,337,438,349,326.7916666666667,5.833333333333333,338.005
2024-01-06,178.66666666666666,347,455,332,320.25166666666667,5.833333333333333,315.75666666666666
2024-01-07,182.33333333333334,402,396,402,278.29833333333335,15.833333333333334,271.3233333333333
2024-01-08,173.5,375,410,379,354.1383333333333,10.0,344.3333333333333
2024-01-09,191.16666666666666,363,457,347,377.26,10.833333333333334,368.78999999999996
2024-01-10,157.33333333333334,372,421,383,342.62833333333333,9.166666666666666,333.4066666666667
2024-01-11,194.0,418,465,429,446.7416666666666,5.0,458.80833333333334
2024-01-12,171.83333333333334,406,430,386,444.7633333333333,14.166666666666666,446.0516666666667
2024-01-13,182.5,340,418,350,393.76666666666665,7.5,394.035
2024-01-14,169.83333333333334,336,453,336,375.93833333333333,5.0,385.4216666666667
2024-01-15,181.16666666666666,362,382,370,335.57,9.166666666666666,332.39500000000004
2024-01-16,190.83333333333334,364,451,350,347.9116666666667,8.333333333333334,339.19
2024-01-17,177.83333333333334,339,373,353,391.90166666666664,10.0,391.7266666666667
2024-01-18,179.33333333333334,343,512,351,510.535,13.333333333333334,527.9666666666667
2024-01-19,179.0,350,421,358,363.95666666666665,11.666666666666666,349.17333333333335
2024-01-20,187.66666666666666,346,419,335,346.645,12.5,349.91833333333335
2024-01-21,200.33333333333334,381,532,370,359.93666666666667,10.0,353.0083333333334
2024-01-22,178.66666666666666,340,419,336,386.59999999999997,10.0,384.58166666666665
2024-01-23,159.66666666666666,392,397,411,478.87166666666667,6.666666666666667,483.57666666666665
2024-01-24,174.33333333333334,303,506,309,315.0466666666667,12.5,308.7033333333333
2024-01-25,193.83333333333334,396,438,403,340.4066666666667,10.0,347.875
2024-01-26,158.83333333333334,395,407,393,336.2233333333333,11.666666666666666,342.285
2024-01-27,175.83333333333334,350,455,344,347.1133333333333,10.833333333333334,336.44166666666666
2024-01-28,181.33333333333334,407,440,395,452.7866666666667,10.833333333333334,451.60166666666663
2024-01-29,192.0,395,402,385,450.4266666666667,10.0,445.99
2024-01-30,171.16666666666666,378,442,374,289.00666666666666,7.5,283.895
2024-01-31,193.33333333333334,368,432,382,392.1483333333333,8.333333333333334,397.30833333333334
2024-02-01,183.5,347,374,364,325.47333333333336,12.5,330.79333333333335
2024-02-02,197.83333333333334,311,443,320,433.99333333333334,14.166666666666666,452.1333333333334
2024-02-03,178.0,378,371,378,456.2416666666666,10.0,459.43
2024-02-04,185.66666666666666,359,438,344,418.9433333333333,14.166666666666666,427.19666666666666
2024-02-05,186.0,311,441,326,402.72333333333336,13.333333333333334,403.2266666666667
2024-02-06,163.16666666666666,326,457,322,323.31166666666667,4.166666666666667,325.18
2024-02-07,188.5,375,453,356,371.6716666666666,5.0,372.695
2024-02-08,166.0,305,418,305,314.245,13.333333333333334,312.12833333333333
2024-02-09,181.83333333333334,372,400,371,409.5566666666667,6.666666666666667,401.37000000000006
2024-02-10,183.16666666666666,394,420,378,373.14000000000004,15.0,368.94
2024-02-11,183.16666666666666,343,348,377,447.26666666666665,6.666666666666667,443.77833333333336
2024-02-12,189.83333333333334,339,367,345,321.34833333333336,7.5,317.19166666666666
2024-02-13,178.0,313,514,316,351.41166666666663,6.666666666666667,342.4166666666667
2024-02-14,177.16666666666666,329,442,343,404.545,11.666666666666666,401.6616666666667
2024-02-15,163.83333333333334,351,407,337,285.2866666666667,13.333333333333334,289.20166666666665
2024-02-16,194.5,333,440,341,412.80833333333334,7.5,416.05
2024-02-17,164.5,389,424,377,348.22499999999997,8.333333333333334,342.795
2024-02-18,181.83333333333334,366,442,353,277.9316666666667,7.5,284.38666666666666
2024-02-19,173.33333333333334,303,395,318,399.885,4.166666666666667,401.195
2024-02-20,175.5,367,385,349,369.3883333333333,8.333333333333334,384.19
2024-02-21,167.83333333333334,342,372,319,261.72333333333336,8.333333333333334,267.16333333333336
2024-02-22,191.33333333333334,371,416,378,426.98,9.166666666666666,432.6466666666667
2024-02-23,168.16666666666666,403,452,400,379.69166666666666,8.333333333333334,374.585
2024-02-24,192.16666666666666,335,434,339,333.82,11.666666666666666,336.9533333333333
2024-02-25,178.83333333333334,373,460,387,305.66,12.5,321.01666666666665
2024-02-26,180.33333333333334,359,407,352,326.4566666666667,9.166666666666666,321.3
2024-02-27,166.66666666666666,344,435,339,346.9983333333333,14.166666666666666,354.27
2024-02-28,191.16666666666666,378,425,375,348.42333333333335,10.0,347.39000000000004
2024-02-29,173.66666666666666,379,405,365,331.2166666666667,8.333333333333334,324.06166666666667
2024-03-01,183.16666666666666,360,399,356,382.135,16.666666666666668,373.98499999999996
2024-03-02,181.5,344,434,368,303.1983333333333,15.0,300.53333333333336
2024-03-03,198.66666666666666,367,415,360,347.48,7.5,361.0366666666667
2024-03-04,189.66666666666666,341,380,361,365.2616666666667,12.5,366.785
2024-03-05,169.16666666666666,366,428,348,333.25166666666667,8.333333333333334,345.8933333333334
2024-03-06,196.83333333333334,379,382,361,473.22166666666664,4.166666666666667,463.17333333333335
2024-03-07,177.83333333333334,386,468,389,357.97499999999997,10.0,359.37166666666667
2024-03-08,199.66666666666666,379,422,392,297.1066666666667,10.0,296.4533333333333
2024-03-09,180.16666666666666,365,508,360,390.18499999999995,9.166666666666666,377.25499999999994
2024-03-10,180.5,299,419,296,342.9216666666667,11.666666666666666,328.20666666666665
2024-03-11,158.83333333333334,359,427,377,308.06666666666666,10.0,292.5416666666667
2024-03-12,186.33333333333334,416,382,401,381.52,9.166666666666666,382.30333333333334
2024-03-13,172.33333333333334,346,471,349,372.955,5.0,372.1966666666667
2024-03-14,194.5,355,391,341,436.97166666666664,7.5,452.2183333333333
2024-03-15,195.5,343,396,349,337.8983333333333,8.333333333333334,338.3383333333333
2024-03-16,168.83333333333334,320,486,304,429.17,5.0,422.9583333333333
2024-03-17,175.83333333333334,375,418,368,370.05333333333334,11.666666666666666,372.22499999999997
2024-03-18,173.0,378,396,372,415.58500000000004,10.0,425.7166666666667
2024-03-19,177.83333333333334,401,425,417,338.19666666666666,7.5,333.0416666666667
2024-03-20,176.16666666666666,395,389,413,278.7133333333333,10.833333333333334,274.3283333333333
2024-03-21,188.83333333333334,337,377,347,323.71,5.0,331.685
2024-03-22,169.16666666666666,355,435,354,313.65000000000003,11.666666666666666,308.3933333333333
2024-03-23,193.16666666666666,337,400,335,296.7966666666667,12.5,313.17833333333334
2024-03-24,173.16666666666666,394,375,391,419.59666666666664,10.833333333333334,418.92333333333335
2024-03-25,175.33333333333334,380,349,380,343.1233333333333,14.166666666666666,345.77666666666664
2024-03-26,181.83333333333334,354,322,362,360.93,8.333333333333334,344.9583333333333
2024-03-27,178.5,329,407,322,434.0566666666667,11.666666666666666,431.4633333333333
2024-03-28,196.83333333333334,399,467,393,260.3616666666667,11.666666666666666,262.07666666666665
2024-03-29,200.5,310,427,317,402.905,15.0,408.50499999999994
2024-03-30,172.33333333333334,370,381,351,478.4066666666667,11.666666666666666,478.23
2024-03-31,194.16666666666666,428,429,431,324.48499999999996,13.333333333333334,319.3616666666667
2024-04-01,170.83333333333334,346,394,355,330.49833333333333,8.333333333333334,334.2283333333333
2024-04-02,182.0,325,409,330,490.7616666666667,9.166666666666666,488.595
2024-04-03,188.66666666666666,342,380,340,387.3666666666666,9.166666666666666,390.33
2024-04-04,164.0,322,442,332,392.46166666666664,6.666666666666667,404.13000000000005
2024-04-05,189.5,348,478,326,393.39166666666665,7.5,404.96333333333337
2024-04-06,174.0,365,417,371,360.01500000000004,7.5,361.24
2024-04-07,177.16666666666666,328,427,344,319.30333333333334,11.666666666666666,302.8066666666667
2024-04-08,180.66666666666666,362,443,363,315.04833333333335,9.166666666666666,321.0516666666667
2024-04-09,178.83333333333334,324,387,319,354.77333333333337,5.833333333333333,354.92499999999995
2024-04-10,176.33333333333334,350,459,358,357.7166666666667,10.833333333333334,356.66
2024-04-11,190.83333333333334,379,437,396,285.34833333333336,5.0,279.665
2024-04-12,179.66666666666666,318,443,334,404.68833333333333,6.666666666666667,408.31666666666666
2024-04-13,187.83333333333334,334,441,348,377.09833333333336,4.166666666666667,389.71166666666664
2024-04-14,183.16666666666666,351,401,353,297.36333333333334,9.166666666666666,308.4166666666667
2024-04-15,183.16666666666666,340,424,355,425.79833333333335,11.666666666666666,425.32166666666666
2024-04-16,175.16666666666666,324,448,296,368.03833333333336,5.0,370.965
2024-04-17,171.66666666666666,326,430,315,251.81500000000003,12.5,254.9
2024-04-18,187.33333333333334,382,373,340,347.26,11.666666666666666,354.24666666666667
2024-04-19,174.16666666666666,317,365,318,380.5183333333334,6.666666666666667,379.78666666666663
2024-04-20,176.66666666666666,402,368,412,384.82166666666666,14.166666666666666,404.5466666666666
2024-04-21,167.66666666666666,364,420,355,412.06166666666667,6.666666666666667,413.28833333333336
2024-04-22,171.33333333333334,330,401,365,353.00666666666666,6.666666666666667,365.56666666666666
2024-04-23,173.66666666666666,322,371,306,288.4533333333333,4.166666666666667,292.005
