,Actual_Demand,ARIMA_Forecast
2023-08-08,13666,14027.540056437618
2023-08-09,13956,13980.83402291928
2023-08-10,13028,13935.428368029627
2023-08-11,12414,13858.973033471388
2023-08-12,12124,14050.145084862617
2023-08-13,13944,14010.460837357436
2023-08-14,16190,13983.750041208574
2023-08-15,11593,13970.902065079606
2023-08-16,12494,13962.323256834457
2023-08-17,12826,13973.140288052462
2023-08-18,14330,13991.588968892362
2023-08-19,13443,13983.42872758743
2023-08-20,13571,13978.27448472052
2023-08-21,11752,13976.071267020005
2023-08-22,12266,13976.767189953427
2023-08-23,15476,13979.941835224625
2023-08-24,14312,13981.170922769792
2023-08-25,12582,13979.517076032958
2023-08-26,12686,13978.636872440404
2023-08-27,14612,13978.539707130858
2023-08-28,12869,13979.019530986112
2023-08-29,12386,13979.50383195148
2023-08-30,13614,13979.445569654663
2023-08-31,12392,13979.13754157162
2023-09-01,12972,13979.030372882604
2023-09-02,14008,13979.087139414598
2023-09-03,14148,13979.199599007197
2023-09-04,11750,13979.244271721807
2023-09-05,13368,13979.199245815698
2023-09-06,14666,13979.150412743975
2023-09-07,14129,13979.146739063322
2023-09-08,12614,13979.167845502849
2023-09-09,14076,13979.185542824409
2023-09-10,13912,13979.18460217684
2023-09-11,13698,13979.17338728162
2023-09-12,14469,13979.167502412154
2023-09-13,14447,13979.169944936599
2023-09-14,13573,13979.174544508647
2023-09-15,13267,13979.176311238702
2023-09-16,14833,13979.17475802636
2023-09-17,12137,13979.172769382281
2023-09-18,12376,13979.172446012033
2023-09-19,13852,13979.17332106049
2023-09-20,12567,13979.17404770762
2023-09-21,13667,13979.174034111307
2023-09-22,12445,13979.173607064138
2023-09-23,13000,13979.173348524784
2023-09-24,15084,13979.17342818435
2023-09-25,12328,13979.173618761883
2023-09-26,14408,13979.173695205705
2023-09-27,12137,13979.173637766373
2023-09-28,11474,13979.173557769453
2023-09-29,15660,13979.173540129885
2023-09-30,14296,13979.173573782884
2023-10-01,14212,13979.173604460484
2023-10-02,12577,13979.173605157453
2023-10-03,13278,13979.173588465015
2023-10-04,14580,13979.173577499245
2023-10-05,13340,13979.173579995579
2023-10-06,13890,13979.173587667323
2023-10-07,13104,13979.173591077857
2023-10-08,12100,13979.173588960619
2023-10-09,12290,13979.17358571817
2023-10-10,13245,13979.173584858752
2023-10-11,13262,13979.173586134713
2023-10-12,14019,13979.173587412844
2023-10-13,13153,13979.173587503841
2023-10-14,13854,13979.173586849274
2023-10-15,13414,13979.173586385912
2023-10-16,12758,13979.17358646022
2023-10-17,15804,13979.173586765943
2023-10-18,13066,13979.173586916218
2023-10-19,14936,13979.173586840154
2023-10-20,16770,13979.173586708548
2023-10-21,14950,13979.173586668176
2023-10-22,13870,13979.173586716312
2023-10-23,13758,13979.173586769108
2023-10-24,13493,13979.17358677539
2023-10-25,14234,13979.173586749892
2023-10-26,13560,13979.173586730358
2023-10-27,12542,13979.173586732306
2023-10-28,14890,13979.173586744439
2023-10-29,14165,13979.173586750976
2023-10-30,13752,13979.173586748311
2023-10-31,12780,13979.173586742989
2023-11-01,13679,13979.173586741132
2023-11-02,13884,13979.173586742934
2023-11-03,12977,13979.173586745104
2023-11-04,14549,13979.173586745463
2023-11-05,14400,13979.173586744477
2023-11-06,13323,13979.173586743656
2023-11-07,13015,13979.173586743693
2023-11-08,12883,13979.173586744173
2023-11-09,12806,13979.173586744455
2023-11-10,14567,13979.173586744364
2023-11-11,14633,13979.17358674415
2023-11-12,13585,13979.173586744066
2023-11-13,13590,13979.173586744133
2023-11-14,13684,13979.173586744222
2023-11-15,14084,13979.17358674424
2023-11-16,13784,13979.173586744202
2023-11-17,12641,13979.173586744168
2023-11-18,14554,13979.173586744168
2023-11-19,12949,13979.173586744186
2023-11-20,14683,13979.173586744198
2023-11-21,13383,13979.173586744195
2023-11-22,14412,13979.173586744186
2023-11-23,13961,13979.173586744182
2023-11-24,13044,13979.173586744184
2023-11-25,14836,13979.173586744188
2023-11-26,14558,13979.17358674419
2023-11-27,13722,13979.173586744188
2023-11-28,14710,13979.173586744186
2023-11-29,14595,13979.173586744186
2023-11-30,14635,13979.173586744186
2023-12-01,11898,13979.173586744186
2023-12-02,13200,13979.173586744186
2023-12-03,13116,13979.173586744186
2023-12-04,15286,13979.173586744186
2023-12-05,13829,13979.173586744186
2023-12-06,14194,13979.173586744186
2023-12-07,11947,13979.173586744186
2023-12-08,13462,13979.173586744186
2023-12-09,11947,13979.173586744186
2023-12-10,12569,13979.173586744186
2023-12-11,11972,13979.173586744186
2023-12-12,14068,13979.173586744186
2023-12-13,14736,13979.173586744186
2023-12-14,15429,13979.173586744186
2023-12-15,14060,13979.173586744186
2023-12-16,13471,13979.173586744186
2023-12-17,14633,13979.173586744186
2023-12-18,13331,13979.173586744186
2023-12-19,11756,13979.173586744186
2023-12-20,14965,13979.173586744186
2023-12-21,12292,13979.173586744186
2023-12-22,14136,13979.173586744186
2023-12-23,13335,13979.173586744186
2023-12-24,13433,13979.173586744186
2023-12-25,12723,13979.173586744186
2023-12-26,15858,13979.173586744186
2023-12-27,13023,13979.173586744186
2023-12-28,16271,13979.173586744186
2023-12-29,13368,13979.173586744186
2023-12-30,13156,13979.173586744186
2023-12-31,11208,13979.173586744186
2024-01-01,13244,13979.173586744186
