Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2024-01-01,101,1001,Clothing,West,176,65,79,63,350.62,10,Sunny,No,365.21,Winter
2024-01-01,101,1002,Electronics,North,168,78,78,70,286.91,20,Cloudy,No,266.22,Winter
2024-01-01,102,1001,Clothing,North,144,49,91,52,381.41,0,Cloudy,No,377.63,Winter
2024-01-01,102,1002,Clothing,West,129,57,86,50,457.9,15,Sunny,No,427.99,Winter
2024-01-01,103,1001,Clothing,South,169,45,63,46,405.47,20,Rainy,No,396.97,Winter
2024-01-01,103,1002,Electronics,South,184,78,74,84,189.82,15,Sunny,No,181.14,Winter
2024-01-02,101,1001,Electronics,North,206,54,75,54,283.32,20,Cloudy,No,277.36,Winter
2024-01-02,101,1002,Grocery,East,195,38,56,32,497.07,20,Rainy,Yes,533.17,Winter
2024-01-02,102,1001,Clothing,North,207,41,67,37,478.32,10,Cloudy,Yes,498.72,Winter
2024-01-02,102,1002,Clothing,East,189,55,93,60,372.21,0,Rainy,Yes,343.02,Winter
2024-01-02,103,1001,Clothing,East,172,61,71,57,262.18,20,Sunny,No,240.0,Winter
2024-01-02,103,1002,Electronics,South,159,36,62,29,430.96,0,Rainy,No,415.82,Winter
2024-01-03,101,1001,Electronics,South,158,56,66,60,537.33,10,Sunny,No,512.55,Winter
2024-01-03,101,1002,Grocery,West,163,65,62,65,331.73,0,Rainy,No,345.81,Winter
2024-01-03,102,1001,Grocery,West,177,54,88,47,388.92,5,Cloudy,No,409.27,Winter
2024-01-03,102,1002,Clothing,West,199,42,56,38,434.54,10,Sunny,Yes,435.25,Winter
2024-01-03,103,1001,Clothing,West,190,69,53,63,514.28,15,Sunny,No,502.63,Winter
2024-01-03,103,1002,Grocery,West,160,51,65,52,266.07,15,Sunny,No,253.34,Winter
2024-01-04,101,1001,Grocery,West,183,72,60,79,531.0,15,Sunny,No,486.84,Winter
2024-01-04,101,1002,Electronics,North,187,49,59,54,396.93,10,Sunny,Yes,396.45,Winter
2024-01-04,102,1001,Clothing,South,152,54,83,46,394.14,10,Cloudy,No,401.22,Winter
2024-01-04,102,1002,Electronics,South,179,71,76,70,434.01,5,Sunny,No,433.36,Winter
